,content,score,label,sentiment,length,num_word,encoded
1472,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1473,thời gian giao hàng rất nhanh bỉm mềm thấm hút toits,5,2,positive,52,11,"[[122 112  44  41 117   6 710 199 200   1   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1474,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1475,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1476,sản phẩm thì tốt đó nhưng đóng gói hơi xơ xài nha,5,2,positive,49,12,"[[  3 140  31 317  15  94   7   1  16  13   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1477,bé xài bỉm này hợp thấm hút tốt giao hàng nhanh đóng gói chắc chắn,5,2,positive,66,15,"[[ 12  16   6 154  32 199 200  31 112  44 117  94  96   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1478,đã mua cho con mình sd rất tốt nhưng giao hàng hỏi chậm 5 ngày mới nhận đc hàng,5,2,positive,79,19,"[[210  93 102 106  39 430  41  31  15 112  44 670 221 606 229 239 161 162
   44   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1479,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1480,tả mỏng nhẹ thấm hút tốt nhưng mà size ít quá mỏng nhà cũng cấp bổ sung thêm size tả để lựa chọn ạ,5,2,positive,98,24,"[[ 14   8 493 199 200  31  15 217  11 498  35   8  38 238 594 713 188  11
   14 205   1 146   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1481,khách bảo là oke ạ bỉm quần l,5,2,positive,29,8,"[[ 36 105 109 714 146   6   1   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1482,bỉm ok nha mn m tìm quần mà ko có lên đặt tạm tã bỉm nhẹ lắm,5,2,positive,60,17,"[[  6  17  13 701 652 588 708 217  49  46 138 149  24 715   6 493 124   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1483,tã mỏng ổn hơi cứng chút form vừa,5,2,positive,33,8,"[[715   8  25   7 716 207 189   9   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1484,rất đáng tiền,5,2,positive,13,3,"[[ 41 159 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1485,đóng gói sản phẩm rất đẹp và chắc chắn muốn đặt thêm mà hết hàng nhưng chờ lâu mà ko thấy bổ sung thêm,5,2,positive,102,24,"[[ 94   3  41  95  48  96 350 149 188 217 110  44  15 348 113 217  49  47
  713 188   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1486,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1487,thời gian giao hàng rất nhanh,5,2,positive,29,6,"[[122 112  44  41 117   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1488,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1489,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1490,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1491,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1492,bỉm mỏng nhẹ,4,1,neutral,12,3,"[[  6   8 493   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1493,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1494,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1495,,2,0,negative,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1496,,2,0,negative,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1497,khăn sữa e bé thì ai là mẹ cũng đã biết rồi nên e không nói thêm nữa sản phẩm chất lượng nên mua,5,2,positive,96,24,"[[654  58 351  12 140 416 109 418 238 210 227 181 143 351  42  37 188  51
  262 143  93   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1498,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1499,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1500,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1501,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1502,khăn đẹp chất lượng nên bán,5,2,positive,27,6,"[[654  95   2 143 206   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1503,nếu được chọn màu thì ok hơn,5,2,positive,28,7,"[[425  54 717 483 140  17  29   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1504,rẻ xài ok,5,2,positive,9,3,"[[626  16  17   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1505,sản phẩm rất tốt nhé,5,2,positive,20,5,"[[ 3 41 31 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1506,thời gian giao hàng rất nhanh,5,2,positive,29,6,"[[122 112  44  41 117   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1507,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1508,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1509,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1510,khách phản hồi khăn bị đổ lông,2,0,negative,30,7,"[[ 36 235 654  43 637 718   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1511,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1512,giao hàng nhanh đóng gói cẩn thận,5,2,positive,33,7,"[[112  44 117  94 211   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1513,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1514,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1515,sp chai to dễ uống,5,2,positive,18,5,"[[ 52 381 705  60  40   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1516,nhận hàng cho bé dùng bê thích uống lắm còn chất lượng như nào phải đợi hết vài lọ mới rõ được,5,2,positive,94,22,"[[161  44 102  12  21   1  57  40 124 157   2  71 374 470 178 110   1 527
  239 551  54   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1517,rất hài lòng về sp ạ,5,2,positive,20,6,"[[ 41 164 258  52 146   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1518,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1519,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1520,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1521,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1522,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1523,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1524,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1525,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1526,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1527,đóng gói cẩn thận chất lượng sản phẩm tuyệt vời,5,2,positive,47,10,"[[ 94 211   2   3   4   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1528,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1529,khăn nhỏ chất cũng đc giá hơi cao so với các mẫu cùng chất,4,1,neutral,58,14,"[[654  30 448 238 162 167   7 168 129  10  45 424 719 448   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1530,oke lắm nha đóng gói cẩn thận để bé ăn đã mới đánh giá được chất lượng nhưng nhìn ưng lắm nha,5,2,positive,93,22,"[[714 124  13  94 211 205  12 165 210 239 184  54   2  15 186 131 124  13
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1531,sp đúng như hình,5,2,positive,16,4,"[[ 52 144  71 446   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1532,cu nhà e mới 5 tháng tuổi tập ăn dặm mà nhìn cu nhà e ăn ngon lắm,5,2,positive,65,18,"[[519  38 351 239 606 255 720 721 165 642 217 186 519  38 351 165  82 124
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1533,đóng gói rất chắc chắn lại được tặng quà siro ăn ngon sản phẩm uy tín lần sau sẽ mua tiếp,5,2,positive,89,21,"[[ 94  41  96 121  54  55  56 530 165  82   3 325  91 152 213  93 215   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1534,giao hàng lâu đúng sản phẩm hàng đóng gói cẩn thận chất lượng tốt,5,2,positive,65,14,"[[112  44 113 144   3  44  94 211   2  31   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1535,rất hợp khẩu vị bé nhà e cảm ơn ncc,5,2,positive,35,10,"[[ 41   1  12  38 351 253 100   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1536,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1537,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1538,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1539,thời gian giao hàng rất nhanh,5,2,positive,29,6,"[[122 112  44  41 117   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1540,rất ok nhé bé rất thích,5,2,positive,23,6,"[[41 17 18 12 41 57  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1541,giao hàng hơi lâu khách phàn nàn nhưng bù lạii lại hàng chất lượng nên khách bỏ qua,5,2,positive,83,18,"[[112  44   7 113  36 283  15   1   1 121  44   2 143  36   1   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1542,đã nhận được,5,2,positive,12,3,"[[210 161  54   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1543,bột thơm ạ,5,2,positive,10,3,"[[722  98 146   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1544,giao nhanh,5,2,positive,10,2,"[[112 117   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1545,bột ngũ cốc ăn dặm lạc lạc rất thơm,5,2,positive,35,9,"[[722 219 165 642 463  41  98   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1546,đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời,5,2,positive,68,15,"[[94  3 41 95 48 96  2  3  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1547,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1548,rất đáng tiền,5,2,positive,13,3,"[[ 41 159 160   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1549,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1550,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1551,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1552,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1553,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1554,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1555,đóng gói sản phẩm rất đẹp và chắc chắn giao nhanh,5,2,positive,49,11,"[[ 94   3  41  95  48  96 112 117   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1556,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1557,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1558,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1559,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1560,,5,2,positive,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1561,bị lủng lỗ và rót nắp ra bột rớt ra ngoài dong gói cẩn thận lại,4,1,neutral,63,16,"[[ 43 623 723  48 724 170 271 722 725 271 130  73 233 211 121   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1562,,4,1,neutral,0,1,"[[5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
1563,hàng được đóng gói cẩn thận đẹp mắt giao hàng nhanh,5,2,positive,51,11,"[[ 44  54  94 211 489 112  44 117   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1564,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1565,giao hàng nhanh sản phẩm được khách rất hài lòng,5,2,positive,48,10,"[[112  44 117   3  54  36  41 164   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
    0   0   0   0   0   0   0   0   0   0   0   0   0   0]]"
1566,đóng gói sản phẩm rất đẹp và chắc chắn,5,2,positive,38,9,"[[94  3 41 95 48 96  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0]]"
1567,chất lượng sản phẩm tuyệt vời,5,2,positive,29,6,"[[2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0]]"
